Date,Location,Number_of_Visitors
2019-01-01 00:00:00.000000000,Kimberley Museum,3970
2019-01-01 00:00:00.000000000,McGregor Museum,4278
2019-01-01 00:00:00.000000000,William Humphreys Art Gallery,4354
2019-01-01 00:00:00.000000000,Magersfontein Battlefield,5956
2019-01-01 00:00:00.000000000,Ghost Tours & Historical Walks,5450
2019-01-03 22:16:06.733466933,Kimberley Museum,3811
2019-01-03 22:16:06.733466933,McGregor Museum,3656
2019-01-03 22:16:06.733466933,William Humphreys Art Gallery,8528
2019-01-03 22:16:06.733466933,Magersfontein Battlefield,4474
2019-01-03 22:16:06.733466933,Ghost Tours & Historical Walks,4740
2019-01-06 20:32:13.466933867,Kimberley Museum,4707
2019-01-06 20:32:13.466933867,McGregor Museum,5426
2019-01-06 20:32:13.466933867,William Humphreys Art Gallery,6311
2019-01-06 20:32:13.466933867,Magersfontein Battlefield,3641
2019-01-06 20:32:13.466933867,Ghost Tours & Historical Walks,6049
2019-01-09 18:48:20.200400801,Kimberley Museum,6195
2019-01-09 18:48:20.200400801,McGregor Museum,5685
2019-01-09 18:48:20.200400801,William Humphreys Art Gallery,4391
2019-01-09 18:48:20.200400801,Magersfontein Battlefield,4279
2019-01-09 18:48:20.200400801,Ghost Tours & Historical Walks,7263
2019-01-12 17:04:26.933867735,Kimberley Museum,2558
2019-01-12 17:04:26.933867735,McGregor Museum,3961
2019-01-12 17:04:26.933867735,William Humphreys Art Gallery,7584
2019-01-12 17:04:26.933867735,Magersfontein Battlefield,3677
2019-01-12 17:04:26.933867735,Ghost Tours & Historical Walks,5705
2019-01-15 15:20:33.667334669,Kimberley Museum,4209
2019-01-15 15:20:33.667334669,McGregor Museum,4692
2019-01-15 15:20:33.667334669,William Humphreys Art Gallery,5404
2019-01-15 15:20:33.667334669,Magersfontein Battlefield,4102
2019-01-15 15:20:33.667334669,Ghost Tours & Historical Walks,5076
2019-01-18 13:36:40.400801603,Kimberley Museum,4665
2019-01-18 13:36:40.400801603,McGregor Museum,5588
2019-01-18 13:36:40.400801603,William Humphreys Art Gallery,6020
2019-01-18 13:36:40.400801603,Magersfontein Battlefield,3240
2019-01-18 13:36:40.400801603,Ghost Tours & Historical Walks,5283
2019-01-21 11:52:47.134268537,Kimberley Museum,5193
2019-01-21 11:52:47.134268537,McGregor Museum,3858
2019-01-21 11:52:47.134268537,William Humphreys Art Gallery,5534
2019-01-21 11:52:47.134268537,Magersfontein Battlefield,4469
2019-01-21 11:52:47.134268537,Ghost Tours & Historical Walks,5899
2019-01-24 10:08:53.867735471,Kimberley Museum,5557
2019-01-24 10:08:53.867735471,McGregor Museum,8552
2019-01-24 10:08:53.867735471,William Humphreys Art Gallery,3507
2019-01-24 10:08:53.867735471,Magersfontein Battlefield,5589
2019-01-24 10:08:53.867735471,Ghost Tours & Historical Walks,4760
2019-01-27 08:25:00.601202405,Kimberley Museum,5253
2019-01-27 08:25:00.601202405,McGregor Museum,5094
2019-01-27 08:25:00.601202405,William Humphreys Art Gallery,4910
2019-01-27 08:25:00.601202405,Magersfontein Battlefield,5709
2019-01-27 08:25:00.601202405,Ghost Tours & Historical Walks,4723
2019-01-30 06:41:07.334669339,Kimberley Museum,4651
2019-01-30 06:41:07.334669339,McGregor Museum,5686
2019-01-30 06:41:07.334669339,William Humphreys Art Gallery,7247
2019-01-30 06:41:07.334669339,Magersfontein Battlefield,4220
2019-01-30 06:41:07.334669339,Ghost Tours & Historical Walks,4305
2019-02-02 04:57:14.068136272,Kimberley Museum,4698
2019-02-02 04:57:14.068136272,McGregor Museum,4197
2019-02-02 04:57:14.068136272,William Humphreys Art Gallery,4332
2019-02-02 04:57:14.068136272,Magersfontein Battlefield,4646
2019-02-02 04:57:14.068136272,Ghost Tours & Historical Walks,4594
2019-02-05 03:13:20.801603206,Kimberley Museum,4716
2019-02-05 03:13:20.801603206,McGregor Museum,4523
2019-02-05 03:13:20.801603206,William Humphreys Art Gallery,3331
2019-02-05 03:13:20.801603206,Magersfontein Battlefield,5856
2019-02-05 03:13:20.801603206,Ghost Tours & Historical Walks,4253
2019-02-08 01:29:27.535070140,Kimberley Museum,3557
2019-02-08 01:29:27.535070140,McGregor Museum,3235
2019-02-08 01:29:27.535070140,William Humphreys Art Gallery,4182
2019-02-08 01:29:27.535070140,Magersfontein Battlefield,5711
2019-02-08 01:29:27.535070140,Ghost Tours & Historical Walks,2094
2019-02-10 23:45:34.268537074,Kimberley Museum,4779
2019-02-10 23:45:34.268537074,McGregor Museum,8441
2019-02-10 23:45:34.268537074,William Humphreys Art Gallery,3823
2019-02-10 23:45:34.268537074,Magersfontein Battlefield,5269
2019-02-10 23:45:34.268537074,Ghost Tours & Historical Walks,6973
2019-02-13 22:01:41.002004008,Kimberley Museum,7600
2019-02-13 22:01:41.002004008,McGregor Museum,4922
2019-02-13 22:01:41.002004008,William Humphreys Art Gallery,3924
2019-02-13 22:01:41.002004008,Magersfontein Battlefield,7834
2019-02-13 22:01:41.002004008,Ghost Tours & Historical Walks,6996
2019-02-16 20:17:47.735470942,Kimberley Museum,3133
2019-02-16 20:17:47.735470942,McGregor Museum,5358
2019-02-16 20:17:47.735470942,William Humphreys Art Gallery,4626
2019-02-16 20:17:47.735470942,Magersfontein Battlefield,8462
2019-02-16 20:17:47.735470942,Ghost Tours & Historical Walks,3542
2019-02-19 18:33:54.468937876,Kimberley Museum,3907
2019-02-19 18:33:54.468937876,McGregor Museum,7369
2019-02-19 18:33:54.468937876,William Humphreys Art Gallery,7278
2019-02-19 18:33:54.468937876,Magersfontein Battlefield,3555
2019-02-19 18:33:54.468937876,Ghost Tours & Historical Walks,4108
2019-02-22 16:50:01.202404810,Kimberley Museum,6901
2019-02-22 16:50:01.202404810,McGregor Museum,5093
2019-02-22 16:50:01.202404810,William Humphreys Art Gallery,4873
2019-02-22 16:50:01.202404810,Magersfontein Battlefield,6212
2019-02-22 16:50:01.202404810,Ghost Tours & Historical Walks,5170
2019-02-25 15:06:07.935871744,Kimberley Museum,3924
2019-02-25 15:06:07.935871744,McGregor Museum,5907
2019-02-25 15:06:07.935871744,William Humphreys Art Gallery,6408
2019-02-25 15:06:07.935871744,Magersfontein Battlefield,4073
2019-02-25 15:06:07.935871744,Ghost Tours & Historical Walks,6562
2019-02-28 13:22:14.669338678,Kimberley Museum,4164
2019-02-28 13:22:14.669338678,McGregor Museum,3515
2019-02-28 13:22:14.669338678,William Humphreys Art Gallery,4267
2019-02-28 13:22:14.669338678,Magersfontein Battlefield,4018
2019-02-28 13:22:14.669338678,Ghost Tours & Historical Walks,5658
2019-03-03 11:38:21.402805611,Kimberley Museum,5628
2019-03-03 11:38:21.402805611,McGregor Museum,4209
2019-03-03 11:38:21.402805611,William Humphreys Art Gallery,5679
2019-03-03 11:38:21.402805611,Magersfontein Battlefield,3829
2019-03-03 11:38:21.402805611,Ghost Tours & Historical Walks,3049
2019-03-06 09:54:28.136272545,Kimberley Museum,5135
2019-03-06 09:54:28.136272545,McGregor Museum,3813
2019-03-06 09:54:28.136272545,William Humphreys Art Gallery,5472
2019-03-06 09:54:28.136272545,Magersfontein Battlefield,6748
2019-03-06 09:54:28.136272545,Ghost Tours & Historical Walks,3728
2019-03-09 08:10:34.869739479,Kimberley Museum,5444
2019-03-09 08:10:34.869739479,McGregor Museum,1878
2019-03-09 08:10:34.869739479,William Humphreys Art Gallery,4602
2019-03-09 08:10:34.869739479,Magersfontein Battlefield,6266
2019-03-09 08:10:34.869739479,Ghost Tours & Historical Walks,2550
2019-03-12 06:26:41.603206413,Kimberley Museum,6512
2019-03-12 06:26:41.603206413,McGregor Museum,3996
2019-03-12 06:26:41.603206413,William Humphreys Art Gallery,3784
2019-03-12 06:26:41.603206413,Magersfontein Battlefield,7615
2019-03-12 06:26:41.603206413,Ghost Tours & Historical Walks,4829
2019-03-15 04:42:48.336673347,Kimberley Museum,4543
2019-03-15 04:42:48.336673347,McGregor Museum,5611
2019-03-15 04:42:48.336673347,William Humphreys Art Gallery,3459
2019-03-15 04:42:48.336673347,Magersfontein Battlefield,5183
2019-03-15 04:42:48.336673347,Ghost Tours & Historical Walks,4833
2019-03-18 02:58:55.070140281,Kimberley Museum,5111
2019-03-18 02:58:55.070140281,McGregor Museum,4170
2019-03-18 02:58:55.070140281,William Humphreys Art Gallery,7136
2019-03-18 02:58:55.070140281,Magersfontein Battlefield,5755
2019-03-18 02:58:55.070140281,Ghost Tours & Historical Walks,5600
2019-03-21 01:15:01.803607215,Kimberley Museum,6082
2019-03-21 01:15:01.803607215,McGregor Museum,5443
2019-03-21 01:15:01.803607215,William Humphreys Art Gallery,6836
2019-03-21 01:15:01.803607215,Magersfontein Battlefield,4278
2019-03-21 01:15:01.803607215,Ghost Tours & Historical Walks,5036
2019-03-23 23:31:08.537074148,Kimberley Museum,5954
2019-03-23 23:31:08.537074148,McGregor Museum,5427
2019-03-23 23:31:08.537074148,William Humphreys Art Gallery,7474
2019-03-23 23:31:08.537074148,Magersfontein Battlefield,5713
2019-03-23 23:31:08.537074148,Ghost Tours & Historical Walks,3846
2019-03-26 21:47:15.270541082,Kimberley Museum,4574
2019-03-26 21:47:15.270541082,McGregor Museum,4508
2019-03-26 21:47:15.270541082,William Humphreys Art Gallery,6239
2019-03-26 21:47:15.270541082,Magersfontein Battlefield,5760
2019-03-26 21:47:15.270541082,Ghost Tours & Historical Walks,5438
2019-03-29 20:03:22.004008016,Kimberley Museum,8042
2019-03-29 20:03:22.004008016,McGregor Museum,5132
2019-03-29 20:03:22.004008016,William Humphreys Art Gallery,4510
2019-03-29 20:03:22.004008016,Magersfontein Battlefield,7699
2019-03-29 20:03:22.004008016,Ghost Tours & Historical Walks,5123
2019-04-01 18:19:28.737474950,Kimberley Museum,3913
2019-04-01 18:19:28.737474950,McGregor Museum,3673
2019-04-01 18:19:28.737474950,William Humphreys Art Gallery,4937
2019-04-01 18:19:28.737474950,Magersfontein Battlefield,5346
2019-04-01 18:19:28.737474950,Ghost Tours & Historical Walks,5109
2019-04-04 16:35:35.470941884,Kimberley Museum,5401
2019-04-04 16:35:35.470941884,McGregor Museum,5163
2019-04-04 16:35:35.470941884,William Humphreys Art Gallery,4726
2019-04-04 16:35:35.470941884,Magersfontein Battlefield,2774
2019-04-04 16:35:35.470941884,Ghost Tours & Historical Walks,3579
2019-04-07 14:51:42.204408818,Kimberley Museum,4190
2019-04-07 14:51:42.204408818,McGregor Museum,5796
2019-04-07 14:51:42.204408818,William Humphreys Art Gallery,4497
2019-04-07 14:51:42.204408818,Magersfontein Battlefield,3623
2019-04-07 14:51:42.204408818,Ghost Tours & Historical Walks,4933
2019-04-10 13:07:48.937875752,Kimberley Museum,2522
2019-04-10 13:07:48.937875752,McGregor Museum,7157
2019-04-10 13:07:48.937875752,William Humphreys Art Gallery,4851
2019-04-10 13:07:48.937875752,Magersfontein Battlefield,3995
2019-04-10 13:07:48.937875752,Ghost Tours & Historical Walks,3436
2019-04-13 11:23:55.671342686,Kimberley Museum,5281
2019-04-13 11:23:55.671342686,McGregor Museum,5516
2019-04-13 11:23:55.671342686,William Humphreys Art Gallery,6387
2019-04-13 11:23:55.671342686,Magersfontein Battlefield,6412
2019-04-13 11:23:55.671342686,Ghost Tours & Historical Walks,4712
2019-04-16 09:40:02.404809620,Kimberley Museum,4650
2019-04-16 09:40:02.404809620,McGregor Museum,3958
2019-04-16 09:40:02.404809620,William Humphreys Art Gallery,5464
2019-04-16 09:40:02.404809620,Magersfontein Battlefield,3230
2019-04-16 09:40:02.404809620,Ghost Tours & Historical Walks,5779
2019-04-19 07:56:09.138276554,Kimberley Museum,6468
2019-04-19 07:56:09.138276554,McGregor Museum,4613
2019-04-19 07:56:09.138276554,William Humphreys Art Gallery,3495
2019-04-19 07:56:09.138276554,Magersfontein Battlefield,5640
2019-04-19 07:56:09.138276554,Ghost Tours & Historical Walks,6556
2019-04-22 06:12:15.871743488,Kimberley Museum,3980
2019-04-22 06:12:15.871743488,McGregor Museum,4796
2019-04-22 06:12:15.871743488,William Humphreys Art Gallery,4034
2019-04-22 06:12:15.871743488,Magersfontein Battlefield,2887
2019-04-22 06:12:15.871743488,Ghost Tours & Historical Walks,3684
2019-04-25 04:28:22.605210422,Kimberley Museum,5089
2019-04-25 04:28:22.605210422,McGregor Museum,5310
2019-04-25 04:28:22.605210422,William Humphreys Art Gallery,3751
2019-04-25 04:28:22.605210422,Magersfontein Battlefield,3019
2019-04-25 04:28:22.605210422,Ghost Tours & Historical Walks,2277
2019-04-28 02:44:29.338677356,Kimberley Museum,4392
2019-04-28 02:44:29.338677356,McGregor Museum,5406
2019-04-28 02:44:29.338677356,William Humphreys Art Gallery,3154
2019-04-28 02:44:29.338677356,Magersfontein Battlefield,4609
2019-04-28 02:44:29.338677356,Ghost Tours & Historical Walks,4794
2019-05-01 01:00:36.072144288,Kimberley Museum,5297
2019-05-01 01:00:36.072144288,McGregor Museum,3792
2019-05-01 01:00:36.072144288,William Humphreys Art Gallery,6220
2019-05-01 01:00:36.072144288,Magersfontein Battlefield,5615
2019-05-01 01:00:36.072144288,Ghost Tours & Historical Walks,6539
2019-05-03 23:16:42.805611222,Kimberley Museum,3215
2019-05-03 23:16:42.805611222,McGregor Museum,5337
2019-05-03 23:16:42.805611222,William Humphreys Art Gallery,3906
2019-05-03 23:16:42.805611222,Magersfontein Battlefield,4562
2019-05-03 23:16:42.805611222,Ghost Tours & Historical Walks,5604
2019-05-06 21:32:49.539078156,Kimberley Museum,3605
2019-05-06 21:32:49.539078156,McGregor Museum,4550
2019-05-06 21:32:49.539078156,William Humphreys Art Gallery,6298
2019-05-06 21:32:49.539078156,Magersfontein Battlefield,5595
2019-05-06 21:32:49.539078156,Ghost Tours & Historical Walks,3513
2019-05-09 19:48:56.272545090,Kimberley Museum,4384
2019-05-09 19:48:56.272545090,McGregor Museum,3888
2019-05-09 19:48:56.272545090,William Humphreys Art Gallery,2758
2019-05-09 19:48:56.272545090,Magersfontein Battlefield,5206
2019-05-09 19:48:56.272545090,Ghost Tours & Historical Walks,3431
2019-05-12 18:05:03.006012024,Kimberley Museum,5446
2019-05-12 18:05:03.006012024,McGregor Museum,3540
2019-05-12 18:05:03.006012024,William Humphreys Art Gallery,1235
2019-05-12 18:05:03.006012024,Magersfontein Battlefield,4237
2019-05-12 18:05:03.006012024,Ghost Tours & Historical Walks,4666
2019-05-15 16:21:09.739478958,Kimberley Museum,3371
2019-05-15 16:21:09.739478958,McGregor Museum,4122
2019-05-15 16:21:09.739478958,William Humphreys Art Gallery,6064
2019-05-15 16:21:09.739478958,Magersfontein Battlefield,6598
2019-05-15 16:21:09.739478958,Ghost Tours & Historical Walks,6158
2019-05-18 14:37:16.472945892,Kimberley Museum,4373
2019-05-18 14:37:16.472945892,McGregor Museum,4052
2019-05-18 14:37:16.472945892,William Humphreys Art Gallery,4566
2019-05-18 14:37:16.472945892,Magersfontein Battlefield,3426
2019-05-18 14:37:16.472945892,Ghost Tours & Historical Walks,4130
